Time (s) ,left hip - X (cm),left hip - Y (cm),right hip - X (cm),right hip - Y (cm),left ankle - X (cm),left ankle - Y (cm),right ankle - X (cm),right ankle - Y (cm),left_heel - X (cm),left_heel - Y (cm),right_heel - X (cm),right_heel - Y (cm),left_toe - X (cm),left_toe - Y (cm),right_toe - X (cm),right_toe - Y (cm),left knee - X (cm),left knee - Y (cm),right knee - X (cm),right knee - Y (cm),left knee angle (degree),right knee angle (degree),left ankle angle (degree),right ankle angle (degree),Velocity Left Heel (m/s),Velocity Right Heel (m/s),Velocity Left Knee (m/s),Velocity Right knee (m/s),Acceleration Left Heel (m/s^2),Acceleration Right Heel(m/s^2),Acceleration Left Knee(m/s^2),Acceleration Right Knee(m/s^2)
0.37680860000000393,63.94934758740029,98.63551604350253,57.35529782948261,98.386159894309,55.84539213297816,45.86737411266402,52.17371986932264,41.96869065931403,52.94835862284628,42.32121568418062,48.50875797387024,36.45445570656077,68.2660165573644,40.537573103829054,64.83176100611155,37.88965290688818,61.89510070763418,70.18216664976083,55.25250803281161,67.88237614604084,9.842512866773205,2.8320458129814767,80.74732846934403,78.91404295750789,0.0003955758117929084,0.000375153785862425,0.0003955758117929084,0.000375153785862425,2.3085269093835345e-07,2.1893467295060792e-07,2.3085269093835345e-07,2.1893467295060792e-07
0.502612900000031,64.0589637589404,99.42971118976291,57.273429718497766,99.3349687233775,55.846140877319286,46.95695497239669,52.26510310433977,42.107872114161644,52.83709116648899,42.972975373159535,48.6498537858711,37.085768604127026,67.538512271931,40.74371658637314,65.01639326609858,37.895201709545894,61.86671317893892,71.07407900343756,55.15030240661524,69.44548721069866,9.595871983412337,1.961624154487481,76.0309280484836,77.74255401822408,0.0525569623216238,0.3476933022954874,0.0525569623216238,0.3476933022954874,0.4146232403011636,2.760781217411092,0.4146232403011636,2.760781217411092
0.5884198000001106,63.95107577028493,99.81154652013437,56.82455141509568,99.71380502911776,55.84253476268178,47.96704346670256,52.26471051946903,42.32001364596812,52.677985017634136,43.74421037538111,48.67254276304042,37.656044672458435,66.91986327189646,41.10006627827951,65.03742691118401,37.96354790245676,61.78094350284684,71.77072692748335,54.71406776441132,69.86372365784872,9.58248680168606,1.0374876145472456,72.21259296621933,76.24845645864242,0.09177302033820411,0.4741225832857155,0.09177302033820411,0.4741225832857155,0.4570268593381642,1.4734162519577187,0.4570268593381642,1.4734162519577187
0.6802640000000792,63.93532785552114,100.32656525609104,56.674523285468574,100.24555516564847,55.78141294084605,48.294143562104715,52.17280923431316,42.37003786248842,52.485723659901105,44.06668444493514,48.67229183250448,37.82486426141432,66.33532463568336,41.303574990196196,65.03741476938389,37.9816270428448,61.66269046415023,72.24003178596458,54.41023540531784,70.0997481105036,9.173063502110892,0.31753984388166145,70.2799060176166,75.77734776440266,0.0408777419529749,0.41558597189250795,0.0408777419529749,0.41558597189250795,-0.554147985232019,-0.637346848175797,-0.554147985232019,-0.637346848175797
0.7361561000000165,63.7297631321164,100.45928727327149,56.66343782195328,100.51784717528056,55.77084957473618,48.346292593647114,52.269162512848666,42.58157230428858,52.40337392417792,44.07647073583693,48.68286329314776,37.95255957334247,66.2480817545093,41.31708881373675,65.22906498984389,38.0911946471844,60.980904103459004,72.20756461242688,54.42296001185019,70.28466772642693,6.759771340933781,0.20731232669041333,68.45932089981177,75.33526097014924,0.014837372267790744,0.6679417344388299,0.014837372267790744,0.6679417344388299,-0.4659042992697248,4.515052441160829,-0.4659042992697248,4.515052441160829
0.8025726000000759,63.72859751930428,100.40094592366468,56.66935087861478,100.45127368518813,55.692470207654296,48.28781768423892,52.20124128294222,42.574797179818106,52.30453562388325,44.018153669830376,48.65872944176341,37.93119000512021,66.19239945913014,41.26470908799195,65.27016498327137,38.072156304586386,60.941811554319074,71.6840951835823,54.4149747546338,69.95390080738665,7.1030007896228256,0.3949517227480328,68.86837633657561,75.61220193244775,0.01727885996115726,0.5453065692154077,0.01727885996115726,0.5453065692154077,0.036760258269621725,-1.8464563056365897,0.036760258269621725,-1.8464563056365897
0.8625804999999218,63.726537460549515,100.35163807335182,56.67621504295284,100.3853922777029,55.653551690982844,48.23673713110763,52.14572087823142,42.57208955838995,52.2784631317454,43.970399969933695,48.637809120145825,37.91210309532168,66.20632205660829,41.20234880254335,65.29768639689095,38.05411358959873,60.937234095671464,71.37224518913877,54.410878920724535,69.7323493804823,7.366710719455938,0.5408019248108076,69.17747532639072,75.80874773449332,0.00906674530780681,0.6032179117119034,0.00906674530780681,0.6032179117119034,-0.13685055889927053,0.9650619751173508,-0.13685055889927053,0.9650619751173508
0.923711400000002,64.29515010226363,100.34043119183526,56.72306620237347,100.29963474341095,55.83909053871262,47.884357807842555,52.166046251642825,42.52695848732054,52.42884742084287,43.44135745483115,48.63978823356641,37.5879898827506,66.26433153034498,40.944165564658,65.36249123143165,38.044873679702626,61.605413545687824,71.20178645716584,54.43168187160757,69.66535092738546,8.616447824820966,0.4945977809251758,70.23825139774397,76.01252985251165,0.08997107655136573,0.6224132208205756,0.08997107655136573,0.6224132208205756,1.3234604961394785,0.31400337813850293,1.3234604961394785,0.31400337813850293
0.9817688000000544,65.40667928935791,99.24093048139942,57.0155621674157,99.06077045112559,56.871641363252124,46.801297094777695,51.66304789781117,42.41315339473686,52.99196792163319,42.45056228092594,48.37402446513555,37.49510511178451,67.17742727797537,39.69759122929245,65.21151199412799,37.240309436134396,64.40429274359882,68.91513338118249,54.28217583938591,68.61599585147117,16.91725758853059,0.5777275553495258,74.23219560788107,74.81108446852423,0.19629542408563355,0.7498046337768254,0.19629542408563355,0.7498046337768254,1.831365984942002,2.1942321384721795,1.831365984942002,2.1942321384721795
1.053594700000076,66.06020763388857,98.54138066712343,57.23588727250729,98.13397470568603,57.25319338495396,46.075205305425655,51.43455136123458,42.336405076138604,53.24032439594966,42.035239865806204,48.28042737522872,37.49011483193261,67.51684725323899,39.09774987765353,64.5387915108644,36.71180116023741,65.35694647604065,67.90532414827952,54.18705292992987,67.86931156910495,19.050865243606495,0.40032850082849336,76.15715954635625,72.92286099126748,0.06737331755516712,0.6775136113186463,0.06737331755516712,0.6775136113186463,-1.7949250413907458,-1.0064756927258454,-1.7949250413907458,-1.0064756927258454
